Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,concepts,writer_a,task,answer
0,2,30740,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['collegial: A\nsweet: B\nhostile: A\nloving: B\ncold: A\namicable: B\nnice: A\nrude: B\nheartless: A\ncontentious: B']
1,80,49563,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['companionable: A\nhearty: B\nloving: A\nunfriendly: B\nsweet: A\nicy: B\nmortal: A\ncordial: A\nconflicting: A\nrude: B']
2,61,73219,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['affectionate: B\nmortal: B\nhostile: A\nunpleasant: A\nconflicting: B\ngenial: A\ncordial: B\nmerry: A\ncollegial: B\nunsympathetic: A']
3,21,22741,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['unsympathetic: A\ncompanionable: B\nicy: A\nfriendly: B\ncold: A\ncordial: B\nunfavorable: A\naffectionate: B\namicable: B\nopposed: A']
4,44,52406,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['antipathetic: B\nunfriendly: A\ngracious: B\ngenial: A\nheartless: B\nsweet: A\naffectionate: A\nnegative: B\nfriendly: A\nadverse: B']
5,82,71098,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['loving: B\ncold: B\nneighborly: A\namicable: B\nfriendly: B\nmilitant: B\nmortal: B\nunfavorable: B\nadverse: B\ngenial: A']
6,18,86908,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['hostile: A\nsweet: B\nadverse: A\nmerry: B\nhearty: B\nhospitable: A\nicy: A\ncontentious: A\ncompanionable: B\nmilitant: A']
7,54,26813,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['good-natured: B\nunsympathetic: B\namicable: A\nheartless: B\nchummy: A\ninhospitable: B\nhearty: A\nadverse: B\nrude: B\ncomradely: A']
8,8,3891,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['heartless: A\nconflicting: A\nsweet: B\ngood-natured: B\nunsympathetic: A\nwarm: B\nnice: B\nhostile: A\ncomradely: B\nicy: A']
9,47,37780,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['good-natured: B\nnegative: A\nwarm: B\nantagonistic: A\nunfavorable: B\nconflicting: A\ncordial: B\ncomradely: A\nmilitant: B\nchummy: A']
10,25,61690,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['affectionate: A\ngracious: A\nhearty: B\nwarmhearted: A\nrude: B\nheartless: A\nchummy: B\ninimical: A\nantipathetic: A\nconflicting: A']
11,36,43385,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['neighborly: A\namicable: B\nwarmhearted: A\nunpleasant: B\nmerry: A\nicy: B\nantagonistic: B\nconflicting: B\ncompanionable: A\nantipathetic: B']
12,101,32377,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['sweet: A\nunpleasant: A\nwarm: B\nconflicting: A\nnegative: A\nicy: B\ncompanionable: A\nheartless: B\ngenial: A\ngood-natured: B']
13,39,36434,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['militant: A\nhospitable: A\ninhospitable: B\nicy: B\nnegative: A\nnice: A\nunpleasant: B\nwarmhearted: A\ngood-natured: A\nloving: B']
14,98,62467,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['hearty: A\nmerry: A\nadverse: B\nwarmhearted: A\nopposed: B\nunfavorable: B\nheartless: B\ngenial: A\nwarm: A\nmilitant: B']
15,65,84470,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['amicable: A\ncomradely: A\nnegative: A\nicy: A\nantipathetic: A\nsweet: B\nantagonistic: A\nnice: B\naffectionate: B\ninimical: A']
16,77,13325,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['genial: A\nunfriendly: B\nhostile: B\ncold: B\namicable: A\nneighborly: A\nheartless: B\nantipathetic: B\nchummy: A\ncollegial: A']
17,32,62518,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['merry: A\ncold: A\nnegative: B\nopposed: A\naffectionate: B\ngood-natured: A\ncomradely: B\nunfavorable: A\nhearty: B\nmilitant: A']
18,7,45200,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['warm: A\nnice: B\nhospitable: A\nantipathetic: B\ncold: A\nunpleasant: B\nloving: A\nadverse: B\nicy: A\ngracious: B']
19,84,59721,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['opposed: A\nnice: B\nloving: B\nunsympathetic: A\ncomradely: B\nantagonistic: A\ncompanionable: B\nhospitable: B\nicy: A\nadverse: A']
20,72,64381,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['militant: B\nnice: A\nunpleasant: B\nsweet: A\nhostile: B\nchummy: A\nfriendly: A\ninimical: B\ncollegial: B\nicy: B']
21,51,52989,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['unfavorable: A\nnegative: A\nsweet: B\nunsympathetic: A\nheartless: A\nhearty: B\nhospitable: B\nrude: A\ncomradely: B\ncordial: B']
