Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,concepts,writer_a,task,answer
0,2,30740,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['collegial: A\nsweet: A\nhostile: B\nloving: A\ncold: B\namicable: A\nnice: A\nrude: B\nheartless: B\ncontentious: B']
1,80,49563,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['companionable: B\nhearty: B\nloving: A\nunfriendly: B\nsweet: A\nicy: B\nmortal: A\ncordial: A\nconflicting: A\nrude: B']
2,61,73219,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['affectionate:B: \nmortal:A: \nhostile:B: \nunpleasant:A: \nconflicting:B: \ngenial:B: \ncordial:A: \nmerry:B: \ncollegial:A: \nunsympathetic:B:']
3,21,22741,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['unsympathetic:A: \ncompanionable:B: \nicy:A: \nfriendly:B: \ncold:A: \ncordial:B: \nunfavorable:A: \naffectionate:B: \namicable:B: \nopposed:A:']
4,44,52406,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['antipathetic:A: \nunfriendly:A: \ngracious:B: \ngenial:B: \nheartless:A: \nsweet:B: \naffectionate:B: \nnegative:A: \nfriendly:B: \nadverse:A:']
5,82,71098,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['loving:A\ncold:B\nneighborly:A\namicable:A\nfriendly:A\nmilitant:B\nmortal:A\nunfavorable:B\nadverse:B\ngenial:A']
6,18,86908,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['hostile:B\nsweet:A\nadverse:B\nmerry:A\nhearty:B\nhospitable:A\nicy:B\ncontentious:B\ncompanionable:A\nmilitant:B']
7,54,26813,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['good-natured: B\nunsympathetic: A\namicable: B\nheartless: A\nchummy: B\ninhospitable: A\nhearty: B\nadverse: A\nrude: A\ncomradely: B']
8,8,3891,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['heartless:A: \nconflicting:A: \nsweet:B: \ngood-natured:B: \nunsympathetic:A: \nwarm:B: \nnice:B: \nhostile:A: \ncomradely:B: \nicy:A:']
9,47,37780,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['good-natured: B\nnegative: A\nwarm: B\nantagonistic: A\nunfavorable: A\nconflicting: A\ncordial: B\ncomradely: B\nmilitant: A\nchummy: B']
10,25,61690,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['affectionate: B\ngracious: A\nhearty: B\nwarmhearted: B\nrude: A\nheartless: A\nchummy: B\ninimical: A\nantipathetic: A\nconflicting: A']
11,36,43385,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['neighborly:B: \namicable:B: \nwarmhearted:B: \nunpleasant:A: \nmerry:B: \nicy:A: \nantagonistic:A: \nconflicting:A: \ncompanionable:B: \nantipathetic:A:']
12,101,32377,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['sweet: A\nunpleasant: B\nwarm: A\nconflicting: B\nnegative: B\nicy: B\ncompanionable: A\nheartless: B\ngenial: A\ngood-natured: A']
13,39,36434,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['militant:A:\nhospitable:B:\ninhospitable:B:\nicy:B:\nnegative:B:\nnice:A:\nunpleasant:B:\nwarmhearted:A:\ngood-natured:A:\nloving:A:']
14,98,62467,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['hearty:A\nmerry:A\nadverse:B\nwarmhearted:A\nopposed:B\nunfavorable:B\nheartless:A\ngenial:B\nwarm:B\nmilitant:B']
15,65,84470,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['amicable:A: \ncomradely:A: \nnegative:B: \nicy:B: \nantipathetic:B: \nsweet:A: \nantagonistic:B: \nnice:A: \naffectionate:A: \ninimical:B:']
16,77,13325,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['genial:B: \nunfriendly:A: \nhostile:A: \ncold:A: \namicable:B: \nneighborly:B: \nheartless:A: \nantipathetic:A: \nchummy:A: \ncollegial:B:']
