Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,concepts,writer_a,task,answer
0,2,30740,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['collegial: A\nsweet: B\nhostile: A\nloving: B\ncold: A\namicable: A\nnice: B\nrude: A\nheartless: A\ncontentious: A']
1,80,49563,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['companionable: Writer A\nhearty: Writer B\nloving: Writer A\nunfriendly: Writer B\nsweet: Writer A\nicy: Writer B\nmortal: Writer A\ncordial: Writer B\nconflicting: Writer A\nrude: Writer B']
2,61,73219,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['Affectionate: Writer A\nMortal: Writer B\nHostile: Writer A\nUnpleasant: Writer A\nConflicting: Writer B\nGenial: Writer A\nCordial: Writer A\nMerry: Writer A\nCollegial: Writer A\nUnsympathetic: Writer A']
3,21,22741,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['unfavorable: A\naffectionate: B\namicable: B\ncold: A\ncompanionable: A\ncordial: A\nicy: A\nopposed: A\nunsympathetic: A\nfriendly: B']
4,44,52406,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['antipathetic: Writer A\nunfriendly: Writer A\ngracious: Writer B\ngenial: Writer B\nheartless: Writer A\nsweet: Writer B\naffectionate: Writer B\nnegative: Writer A\nfriendly: Writer B\nadverse: Writer A']
5,82,71098,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['Loving: Writer A\nCold: Writer B\nNeighborly: Writer A\nAmicable: Writer A\nFriendly: Writer A\nMilitant: Writer B\nMortal: Writer A\nUnfavorable: Writer B\nAdverse: Writer B\nGenial: Writer A']
6,18,86908,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['hostile: A\nsweet: B\nadverse: A\nmerry: B\nhearty: B\nhospitable: B\nicy: A\ncontentious: A\ncompanionable: B\nmilitant: A']
7,54,26813,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['good-natured: Writer B\nunsympathetic: Writer A\namicable: Writer B\nheartless: Writer A\nchummy: Writer A\ninhospitable: Writer B\nhearty: Writer A\nadverse: Writer B\nrude: Writer A\ncomradely: Writer B']
8,8,3891,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['heartless: Writer A\nconflicting: Writer A\nsweet: Writer B\ngood-natured: Writer B\nunsympathetic: Writer A\nwarm: Writer B\nnice: Writer B\nhostile: Writer A\ncomradely: Writer B\nicy: Writer A']
9,47,37780,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['good-natured: Writer B\nnegative: Writer A\nwarm: Writer B\nantagonistic: Writer A\nunfavorable: Writer A\nconflicting: Writer B\ncordial: Writer B\ncomradely: Writer A\nmilitant: Writer A\nchummy: Writer B']
10,25,61690,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['Affectionate: A\nGracious: A\nHearty: B\nWarmhearted: A\nRude: B\nHeartless: B\nChummy: B\nInimical: A\nAntipathetic: A\nConflicting: A']
